#########Metric: Queue length, minThreshold: 50, maxThreshold: 500##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
0	0	0	5	1
107	188	10	10	1
106	520	30	15	2
72	402	37	20	2
98	485	62	25	2
121	526	78	30	3
90	220	49	35	3
110	349	76	40	3
99	451	90	45	3
115	502	96	50	4
103	117	60	55	4
97	123	86	60	4
138	182	96	65	4
142	427	100	70	4
128	676	101	75	5
145	266	69	80	5
137	336	92	85	5
122	382	99	90	5
160	475	101	95	5
145	554	102	100	6
132	116	75	105	6
147	78	96	110	6
137	29	101	115	5
151	236	69	120	5
167	438	92	125	5
130	670	99	130	6
163	261	76	135	6
150	285	96	140	6
157	330	101	145	6
145	379	102	150	6
140	206	102	155	6
193	192	102	160	6
163	311	102	165	6
83	203	111	170	6
165	330	104	175	6
126	285	103	180	6
65	67	102	185	6
71	0	102	190	5
103	121	66	195	5
110	165	91	200	5
104	162	99	205	5
93	183	101	210	5
95	194	102	215	5
132	244	102	220	5
132	370	102	225	5
128	498	102	230	5
85	467	102	235	5
125	473	102	240	5
106	489	102	245	5
85	458	102	250	5
162	594	102	255	6
133	150	75	260	6
148	160	96	265	6
136	150	101	270	6
152	175	102	275	6
151	174	102	280	6
77	74	102	285	6
84	0	103	290	5
168	441	69	295	5
129	559	92	300	6
115	124	75	305	6
143	21	96	310	5
130	123	66	315	5
159	185	91	320	5
128	176	99	325	5
120	213	101	330	5
110	14	102	335	4
142	350	61	340	4
128	532	86	345	5
122	150	69	350	5
142	267	92	355	5
140	455	99	360	5
161	558	101	365	6
144	145	67	370	6
143	144	94	375	6
140	104	100	380	6
147	117	101	385	6
137	56	102	390	6
71	0	102	395	5
144	292	69	400	5
154	459	92	405	5
102	470	99	410	5
28	691	101	415	6
0	0	0	420	5
0	0	0	425	4
0	0	0	430	3
0	0	0	435	2
0	0	0	440	1
0	0	0	445	1
0	0	0	450	1
0	0	0	455	1
0	0	0	460	1
0	0	0	465	1
