#########Metric: Response Time, minThreshold: 10, maxThreshold: 100##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	50	0	1
58	55	51	5	1
96	449	62	10	1
127	550	71	15	1
91	493	78	20	1
114	520	83	25	1
95	494	87	30	1
103	491	90	35	1
95	486	93	40	1
98	466	95	45	1
103	505	97	50	1
101	494	98	55	1
102	501	99	60	1
137	558	100	65	1
144	727	100	70	1
129	729	101	75	2
135	614	39	80	2
138	679	63	85	2
125	668	78	90	2
144	692	87	95	2
133	697	93	100	2
136	709	97	105	2
132	677	99	110	2
124	695	100	115	2
155	701	101	120	3
159	569	52	125	3
140	859	77	130	3
181	811	90	135	3
149	766	97	140	3
135	769	100	145	3
176	801	101	150	4
169	452	63	155	4
151	766	87	160	4
173	792	96	165	4
163	758	100	170	4
167	828	102	175	5
224	471	70	180	5
174	996	93	185	5
229	974	99	190	5
227	955	101	195	6
0	0	0	200	6
0	0	0	205	5
0	0	0	210	5
0	0	0	215	4
0	0	0	220	4
0	0	0	225	3
0	0	0	230	3
0	0	0	235	2
0	0	0	240	2
0	0	0	245	1
0	0	0	250	1
0	0	0	255	1
0	0	0	260	1
0	0	0	265	1
0	0	0	270	1
0	0	0	275	1
0	0	0	280	1
0	0	0	285	1
