#########Metric: Response Time, minThreshold: 5, maxThreshold: 20##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	1	0	1
0	0	1	5	1
0	0	1	10	1
0	0	1	15	1
0	0	1	20	1
0	0	1	25	1
0	0	1	30	1
0	0	1	35	1
0	0	1	40	1
0	0	1	45	1
0	0	1	50	1
0	0	1	55	1
0	0	1	60	1
0	0	1	65	1
0	0	1	70	1
0	0	1	75	1
0	0	1	80	1
0	0	1	85	1
0	0	1	90	1
0	0	1	95	1
0	0	1	100	1
0	0	1	105	1
0	0	1	110	1
0	0	1	115	1
0	0	1	120	1
0	0	1	125	1
0	0	1	130	1
0	0	1	135	1
0	0	1	140	1
0	0	1	145	1
0	0	1	150	1
100	125	8	155	1
114	498	27	160	2
49	242	37	165	3
112	233	50	170	3
78	314	77	175	3
92	456	90	180	3
79	413	96	185	3
156	609	99	190	3
108	570	101	195	3
88	509	102	200	3
82	439	102	205	3
54	474	102	210	3
126	586	103	215	3
106	512	103	220	3
0	132	106	225	3
107	41	105	230	3
103	175	104	235	3
129	385	103	240	3
87	466	103	245	3
113	526	103	250	3
92	476	103	255	3
93	490	103	260	3
92	496	102	265	3
84	434	103	270	3
102	454	102	275	3
96	563	103	280	3
126	508	102	285	3
124	546	103	290	3
104	534	103	295	3
131	512	103	300	3
0	77	103	305	3
0	0	103	310	3
0	0	103	315	3
0	0	103	320	3
98	153	103	325	3
103	298	102	330	3
94	464	103	335	3
67	319	102	340	3
66	403	103	345	3
98	513	102	350	3
109	471	103	355	3
97	445	103	360	3
117	515	103	365	3
97	485	103	370	3
101	445	102	375	3
107	539	103	380	3
146	708	102	385	3
137	762	104	390	3
134	537	108	395	3
132	592	105	400	3
103	466	104	405	3
0	127	103	410	3
0	0	103	415	3
0	0	103	420	3
0	0	103	425	3
0	0	103	430	3
0	0	103	435	3
0	0	103	440	3
0	0	103	445	3
