#########Metric: Response Time, minThreshold: 150, maxThreshold: 200##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
77	103	0	5	1
96	516	32	10	1
131	565	100	15	1
98	478	132	20	1
119	529	194	25	1
82	476	226	30	2
91	472	77	35	2
88	488	136	40	2
95	474	211	45	3
87	360	116	50	3
89	498	178	55	3
96	516	251	60	4
151	388	142	65	4
113	698	182	70	4
159	703	198	75	4
143	685	221	80	5
131	0	111	85	5
129	0	115	90	5
145	0	139	95	5
150	0	120	100	4
127	0	83	105	4
124	0	90	110	4
148	0	112	115	4
175	2	94	120	3
177	95	65	125	3
180	3	64	130	2
165	146	43	135	2
143	107	72	140	2
158	105	59	145	1
160	942	38	150	1
151	796	71	155	1
160	799	132	160	1
182	797	168	165	1
166	816	222	170	2
223	1011	83	175	2
0	91	140	180	2
0	0	180	185	2
0	0	180	190	2
0	0	180	195	2
0	0	180	200	2
0	0	180	205	2
0	0	180	210	2
0	0	180	215	2
0	0	180	220	2
0	0	180	225	2
0	0	180	230	2
0	0	180	235	2
0	0	180	240	2
0	0	180	245	2
0	0	180	250	2
0	0	180	255	2
0	0	180	260	2
0	0	180	265	2
0	0	180	270	2
0	0	180	275	2
0	0	180	280	2
0	0	180	285	2
0	0	180	290	2
0	0	180	295	2
0	0	180	300	2
0	0	180	305	2
0	0	180	310	2
0	0	180	315	2
0	0	180	320	2
0	0	180	325	2
0	0	180	330	2
0	0	180	335	2
0	0	180	340	2
0	0	180	345	2
0	0	180	350	2
0	0	180	355	2
0	0	180	360	2
0	0	180	365	2
0	0	180	370	2
0	0	180	375	2
0	0	180	380	2
0	0	180	385	2
0	0	180	390	2
0	0	180	395	2
0	0	180	400	2
0	0	180	405	2
0	0	180	410	2
0	0	180	415	2
0	0	180	420	2
0	0	180	425	2
0	0	180	430	2
0	0	180	435	2
