#########Metric: Response Time, minThreshold: 150, maxThreshold: 250##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
19	14	0	5	1
95	516	32	10	1
120	536	73	15	1
94	517	132	20	1
107	502	166	25	1
81	500	229	30	1
106	497	261	35	2
92	475	43	40	2
101	467	160	45	2
108	512	209	50	2
112	502	243	55	2
115	503	297	60	3
149	493	78	65	3
167	753	190	70	3
146	696	222	75	3
126	706	245	80	3
135	684	262	85	4
139	397	99	90	4
146	684	209	95	4
144	688	218	100	4
136	702	225	105	4
140	689	250	110	4
143	689	238	115	4
142	703	232	120	4
168	820	252	125	5
146	0	77	130	5
162	0	125	135	5
147	0	119	140	4
159	0	84	145	4
159	2	93	150	4
158	0	114	155	4
149	0	98	160	3
154	63	75	165	3
169	8	81	170	3
180	34	75	175	2
222	616	59	180	2
181	1009	62	185	2
217	1007	91	190	2
202	968	78	195	1
0	0	0	200	1
0	0	0	205	1
0	0	0	210	1
0	0	0	215	1
0	0	0	220	1
