#########Metric: Response Time, minThreshold: 10, maxThreshold: 20##########
#Time Elapsed	Num Servers
0	2
10	2
20	3
30	3
40	2
50	2
60	2
70	1
80	1
90	2
100	2
110	1
120	1
130	2
140	2
150	2
160	2
170	3
180	3
190	3
200	3
210	3
220	3
230	3
240	3
250	3
260	3
270	3
280	2
290	2
300	1
310	1
320	2
330	2
340	2
350	2
360	2
370	2
380	2
390	2
400	2
410	2
420	3
430	3
440	2
450	2
460	1
470	1
480	2
490	2
500	2
510	2
520	2
530	2
540	2
550	2
560	2
570	2
580	2
590	2
600	2
610	2
620	2
630	2
640	2
650	2
660	2
670	2
680	2
690	2
700	3
710	4
720	4
730	4
740	4
750	3
760	3
770	2
780	2
790	1
800	1
810	1
820	1
830	1
