#########Metric: Request Rate, minThreshold: -10, maxThreshold: 90000##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
124	118	9	0	2
165	818	73	10	2
174	792	97	20	2
169	799	108	30	2
152	762	112	40	2
150	769	114	50	2
169	842	114	60	2
169	852	115	70	2
171	858	116	80	2
175	877	115	90	2
88	474	115	100	2
90	470	115	110	2
80	430	114	120	2
85	444	115	130	2
95	455	113	140	2
96	472	114	150	2
87	450	113	160	2
89	437	111	170	2
103	463	114	180	2
101	484	114	190	2
99	495	115	200	2
90	471	115	210	2
92	480	114	220	2
79	442	112	230	2
92	437	113	240	2
105	459	113	250	2
100	488	114	260	2
91	458	115	270	2
91	471	113	280	2
84	474	114	290	2
84	449	115	300	2
86	468	115	310	2
82	435	115	320	2
94	494	115	330	2
78	416	114	340	2
88	432	114	350	2
88	457	115	360	2
85	413	115	370	2
86	424	115	380	2
35	80	115	390	2
44	0	113	400	2
37	0	110	410	2
42	0	109	420	2
36	0	108	430	2
33	0	107	440	2
53	8	107	450	2
48	1	107	460	2
38	0	107	470	2
187	878	108	480	2
170	848	111	490	2
134	871	114	500	2
127	818	112	510	2
168	847	113	520	2
158	838	114	530	2
162	831	114	540	2
162	826	115	550	2
177	822	116	560	2
170	795	115	570	2
149	755	115	580	2
154	778	115	590	2
148	781	115	600	2
170	857	115	610	2
173	843	115	620	2
164	841	116	630	2
172	849	115	640	2
188	846	115	650	2
196	853	115	660	2
108	512	115	670	2
86	436	115	680	2
94	482	113	690	2
89	448	114	700	2
91	439	115	710	2
101	503	113	720	2
103	500	115	730	2
95	441	114	740	2
96	489	115	750	2
92	483	112	760	2
77	460	113	770	2
105	476	114	780	2
89	461	114	790	2
98	460	115	800	2
100	471	116	810	2
91	470	116	820	2
96	502	114	830	2
88	477	111	840	2
85	442	113	850	2
151	791	115	860	2
201	900	115	870	2
181	800	115	880	2
200	878	115	890	2
185	877	115	900	2
155	894	115	910	2
142	874	114	920	2
150	872	114	930	2
121	798	114	940	2
102	788	113	950	2
35	111	114	960	2
31	0	112	970	2
33	0	110	980	2
39	0	108	990	2
28	0	108	1000	2
33	1	107	1010	2
25	0	107	1020	2
46	11	107	1030	2
41	0	107	1040	2
49	61	108	1050	2
49	160	111	1060	2
59	217	114	1070	2
57	246	115	1080	2
47	270	115	1090	2
60	273	114	1100	2
52	272	115	1110	2
59	287	115	1120	2
44	251	115	1130	2
0	15	116	1140	2
0	0	115	1150	2
