#########Metric: Queue length, minThreshold: 200, maxThreshold: 400##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
152	864	65	10	2
149	799	105	20	3
163	0	60	30	2
159	3	49	40	1
163	817	68	50	2
201	891	103	60	3
148	0	63	70	2
175	32	51	80	1
91	647	68	90	2
103	461	109	100	3
79	0	51	110	2
80	0	38	120	1
89	440	68	130	2
93	376	103	140	2
102	469	125	150	3
85	0	48	160	2
104	0	40	170	1
96	510	70	180	2
81	358	103	190	2
96	479	124	200	3
94	0	48	210	2
95	0	39	220	1
86	448	69	230	2
106	351	102	240	2
98	462	121	250	3
83	0	43	260	2
90	0	39	270	1
88	436	68	280	2
102	361	103	290	2
99	440	122	300	3
77	0	48	310	2
94	0	38	320	1
93	482	68	330	2
77	293	102	340	2
83	408	124	350	3
35	0	39	360	2
42	0	12	370	1
43	66	69	380	1
43	133	102	390	1
38	172	118	400	1
28	155	123	410	1
48	207	126	420	1
48	216	143	430	1
46	194	142	440	1
140	859	137	450	2
154	820	103	460	3
179	0	57	470	2
151	0	42	480	1
161	833	68	490	2
178	830	102	500	3
171	0	59	510	2
134	0	49	520	1
164	847	69	530	2
157	758	108	540	3
171	0	61	550	2
148	0	43	560	1
181	899	67	570	2
145	858	101	580	3
167	0	63	590	2
178	4	41	600	1
164	817	67	610	2
95	511	100	620	3
80	0	48	630	2
97	0	43	640	1
104	465	71	650	2
92	414	111	660	3
112	0	46	670	2
83	0	37	680	1
93	495	67	690	2
90	344	101	700	2
103	489	122	710	3
85	0	47	720	2
87	0	41	730	1
101	457	70	740	2
91	369	109	750	2
91	473	142	760	3
94	0	53	770	2
99	0	38	780	1
88	429	69	790	2
161	818	102	800	3
164	0	59	810	2
159	0	46	820	1
168	829	68	830	2
218	904	102	840	3
142	0	61	850	2
170	5	47	860	1
172	830	68	870	2
32	369	102	880	2
29	0	98	890	1
22	0	47	900	1
43	4	71	910	1
42	16	93	920	1
34	0	95	930	1
36	47	119	940	1
53	20	117	950	1
38	109	127	960	1
54	204	139	970	1
56	273	137	980	1
46	249	135	990	1
37	227	132	1000	1
66	307	130	1010	1
56	235	126	1020	1
61	310	127	1030	1
56	279	127	1040	1
59	308	125	1050	1
48	253	126	1060	1
0	0	126	1070	1
0	0	126	1080	1
0	0	126	1090	1
0	0	126	1100	1
