#########Metric: Queue length, minThreshold: 200, maxThreshold: 700##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
126	96	125	0	1
159	775	68	10	2
160	779	102	20	3
158	0	61	30	2
195	5	47	40	1
129	842	69	50	2
174	854	102	60	3
176	0	66	70	2
174	2	42	80	1
92	474	69	90	1
81	470	104	100	1
78	432	123	110	1
84	439	133	120	1
90	461	131	130	1
103	479	137	140	1
93	456	138	150	1
93	440	141	160	1
93	453	141	170	1
96	468	151	180	1
102	503	145	190	1
102	458	136	200	1
93	482	134	210	1
78	450	131	220	1
83	425	132	230	1
93	452	131	240	1
107	492	137	250	1
99	461	138	260	1
95	470	136	270	1
94	488	135	280	1
92	475	139	290	1
88	467	134	300	1
83	437	133	310	1
90	486	131	320	1
77	414	130	330	1
80	435	127	340	1
93	464	127	350	1
91	426	128	360	1
90	428	125	370	1
28	108	126	380	1
39	28	130	390	1
46	21	128	400	1
34	74	129	410	1
36	143	133	420	1
38	171	135	430	1
39	202	134	440	1
45	208	130	450	1
40	177	127	460	1
205	863	129	470	2
150	835	103	480	3
161	0	62	490	2
174	0	42	500	1
156	799	68	510	2
162	819	103	520	3
179	1	60	530	2
190	3	44	540	1
153	854	69	550	2
158	815	102	560	3
164	0	59	570	2
157	0	50	580	1
194	886	67	590	2
198	888	104	600	3
142	0	61	610	2
158	16	56	620	1
168	806	69	630	2
98	580	101	640	2
90	462	126	650	2
99	503	128	660	2
91	464	130	670	2
79	448	127	680	2
102	510	128	690	2
101	504	132	700	2
85	435	131	710	2
100	493	130	720	2
96	455	128	730	2
102	486	131	740	2
83	427	132	750	2
98	472	129	760	2
82	427	135	770	2
105	455	130	780	2
97	445	133	790	2
97	478	129	800	2
95	486	127	810	2
82	462	128	820	2
161	627	131	830	2
167	799	131	840	3
158	0	65	850	2
164	10	46	860	1
194	879	77	870	2
156	880	104	880	3
175	0	60	890	2
179	67	53	900	1
149	780	67	910	2
30	161	101	920	1
22	0	61	930	1
38	10	77	940	1
37	1	95	950	1
41	24	112	960	1
42	14	107	970	1
25	28	122	980	1
43	20	121	990	1
40	76	125	1000	1
59	158	128	1010	1
64	293	128	1020	1
54	243	127	1030	1
54	236	127	1040	1
52	304	127	1050	1
49	248	129	1060	1
54	309	133	1070	1
49	276	137	1080	1
56	295	137	1090	1
36	236	145	1100	1
0	0	143	1110	1
