#########Metric: Request Rate, minThreshold: 100, maxThreshold: 140##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
173	192	14	0	3
151	781	110	10	4
158	796	135	20	5
195	729	163	30	6
178	446	173	40	6
137	728	185	50	6
150	855	189	60	6
170	871	194	70	6
166	863	187	80	6
105	812	188	90	6
93	228	184	100	5
91	0	142	110	4
89	32	157	120	3
82	332	137	130	2
101	483	93	140	2
100	465	127	150	2
87	431	138	160	1
106	464	40	170	1
102	484	64	180	1
96	498	79	190	1
92	470	89	200	1
85	468	95	210	1
79	441	98	220	1
88	436	101	230	1
104	466	102	240	1
103	492	103	250	1
91	459	104	260	1
91	477	104	270	1
88	472	104	280	1
85	452	104	290	1
85	466	104	300	1
80	432	105	310	1
99	496	104	320	1
80	412	104	330	1
86	432	104	340	1
90	454	105	350	1
87	415	105	360	1
86	424	105	370	1
34	157	104	380	1
41	158	105	390	1
38	209	104	400	1
45	219	105	410	1
35	192	105	420	1
33	184	104	430	1
55	218	104	440	1
44	207	105	450	1
40	188	105	460	1
173	877	105	470	2
124	805	68	480	2
168	863	96	490	3
174	834	111	500	4
157	794	136	510	5
158	718	161	520	6
184	486	173	530	6
186	811	187	540	6
199	901	188	550	6
191	849	184	560	6
167	825	185	570	6
142	838	190	580	6
147	807	185	590	6
165	857	184	600	6
160	841	187	610	6
170	854	185	620	6
179	832	185	630	6
174	816	188	640	6
116	629	188	650	6
97	224	186	660	5
94	0	116	670	4
87	165	162	680	3
91	345	136	690	2
98	498	92	700	1
91	490	40	710	1
96	458	64	720	1
90	485	79	730	1
101	492	89	740	1
88	465	95	750	1
110	474	98	760	1
99	468	101	770	1
96	460	102	780	1
89	464	103	790	1
89	474	104	800	1
89	481	104	810	1
89	478	104	820	1
80	439	104	830	1
169	805	105	840	2
153	899	67	850	3
137	802	112	860	3
160	845	144	870	4
179	839	134	880	5
163	792	162	890	6
176	526	170	900	6
162	794	185	910	6
163	829	185	920	6
32	26	188	930	5
31	0	30	940	4
44	0	37	950	3
38	0	52	960	2
30	0	59	970	1
40	121	39	980	1
18	114	64	990	1
40	232	79	1000	1
42	200	88	1010	1
60	274	94	1020	1
54	276	98	1030	1
47	243	101	1040	1
59	266	102	1050	1
49	263	103	1060	1
58	285	104	1070	1
50	270	104	1080	1
64	307	104	1090	1
57	257	104	1100	1
0	0	105	1110	1
0	0	105	1120	1
0	0	105	1130	1
0	0	105	1140	1
0	0	105	1150	1
0	0	105	1160	1
0	0	105	1170	1
