#########Metric: Response Time, minThreshold: 100, maxThreshold: 200##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
155	124	8	0	2
159	828	139	10	2
168	803	190	20	2
175	800	212	30	3
152	783	148	40	3
167	823	177	50	3
172	841	193	60	3
165	854	196	70	3
190	886	199	80	3
206	915	193	90	3
96	478	190	100	3
94	469	192	110	3
86	422	192	120	3
85	423	192	130	3
86	441	190	140	3
100	474	186	150	3
104	467	190	160	3
97	448	190	170	3
96	465	212	180	4
106	0	98	190	4
93	0	89	200	3
99	0	79	210	3
89	0	90	220	3
81	0	103	230	3
80	0	99	240	2
101	0	57	250	2
91	0	64	260	2
91	1	67	270	2
95	0	70	280	2
96	0	66	290	1
91	462	88	300	1
91	469	176	310	1
92	461	257	320	2
91	450	129	330	2
97	453	193	340	2
90	473	217	350	3
75	242	151	360	3
82	329	185	370	3
24	53	196	380	3
29	0	195	390	3
39	0	184	400	3
42	0	165	410	3
46	0	164	420	3
34	0	160	430	3
39	0	158	440	3
42	0	153	450	3
37	0	152	460	3
161	440	171	470	3
154	796	188	480	3
166	843	192	490	3
162	815	192	500	3
201	847	194	510	3
203	874	195	520	3
193	863	188	530	3
157	845	184	540	3
134	827	188	550	3
155	866	188	560	3
145	820	183	570	3
161	808	185	580	3
144	831	191	590	3
181	848	183	600	3
179	825	188	610	3
171	811	184	620	3
163	796	185	630	3
156	807	189	640	3
157	812	195	650	3
97	555	195	660	3
81	454	197	670	3
94	490	192	680	3
80	457	191	690	3
81	449	191	700	3
106	518	187	710	3
102	507	189	720	3
83	435	190	730	3
101	488	196	740	3
92	456	187	750	3
98	487	193	760	3
87	421	203	770	4
94	0	94	780	4
86	0	92	790	3
94	0	79	800	3
100	0	90	810	3
102	0	91	820	3
93	0	92	830	3
87	0	93	840	3
160	0	73	850	2
207	18	44	860	2
182	14	48	870	2
197	25	55	880	2
184	0	48	890	1
153	868	84	900	1
168	871	174	910	1
154	854	258	920	2
181	822	133	930	2
28	458	193	940	2
22	83	217	950	3
29	0	87	960	3
29	0	132	970	3
40	0	146	980	3
23	0	167	990	3
39	0	172	1000	3
35	0	186	1010	3
55	0	160	1020	3
44	0	165	1030	3
54	0	149	1040	3
49	0	150	1050	3
46	0	148	1060	3
65	0	150	1070	3
50	0	139	1080	3
67	0	147	1090	3
58	0	145	1100	3
54	0	149	1110	3
51	0	139	1120	3
0	0	152	1130	3
0	0	152	1140	3
0	0	152	1150	3
0	0	152	1160	3
