#########Metric: Response Time, minThreshold: 110, maxThreshold: 150##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
146	143	10	0	2
169	820	142	10	2
169	785	203	20	3
155	792	155	30	4
155	0	91	40	4
161	0	92	50	4
195	26	93	60	4
209	0	87	70	3
152	0	70	80	3
153	0	68	90	2
96	0	57	100	2
89	0	62	110	2
87	0	68	120	2
83	0	74	130	2
101	0	64	140	1
96	488	92	150	1
89	468	178	160	2
87	465	125	170	2
85	474	191	180	3
103	386	148	190	3
96	443	175	200	4
106	0	88	210	4
89	0	89	220	4
82	0	95	230	4
97	0	92	240	3
100	0	79	250	3
95	0	99	260	3
94	0	94	270	2
85	0	56	280	2
82	0	63	290	2
91	0	69	300	2
80	0	66	310	1
93	476	86	320	1
78	402	179	330	2
98	437	137	340	2
82	463	198	350	3
95	248	154	360	4
30	0	104	370	4
27	0	137	380	4
35	0	148	390	4
49	0	139	400	4
46	0	131	410	4
40	0	136	420	4
33	0	141	430	4
52	0	130	440	4
37	0	133	450	4
175	0	108	460	3
150	0	73	470	3
173	0	67	480	2
156	0	45	490	2
171	6	51	500	2
210	13	54	510	2
205	7	55	520	2
191	7	49	530	1
129	810	81	540	1
165	867	183	550	2
162	815	130	560	2
183	831	190	570	3
144	777	146	580	3
172	841	175	590	4
162	0	93	600	4
171	0	83	610	3
195	0	66	620	3
166	0	69	630	3
141	0	73	640	3
101	0	89	650	3
85	0	98	660	3
103	0	90	670	2
88	0	54	680	2
104	0	63	690	2
102	0	59	700	1
92	464	88	710	1
98	506	179	720	2
82	461	133	730	2
96	496	192	740	3
89	323	158	750	4
97	0	90	760	4
86	0	89	770	3
86	0	79	780	3
82	0	90	790	3
104	0	90	800	2
98	0	54	810	2
94	0	59	820	2
158	0	58	830	1
201	903	86	840	1
161	785	173	850	2
156	866	138	860	2
145	860	195	870	3
163	866	145	880	3
167	870	191	890	4
164	0	85	900	4
171	0	87	910	4
32	0	99	920	4
28	0	125	930	4
34	0	145	940	4
31	0	152	950	5
47	0	78	960	5
33	0	119	970	5
37	0	132	980	5
45	0	143	990	5
40	0	139	1000	5
51	0	137	1010	5
54	0	130	1020	5
46	0	126	1030	5
41	0	126	1040	5
69	0	126	1050	5
53	0	133	1060	5
59	0	137	1070	5
55	0	127	1080	5
62	0	121	1090	5
46	0	125	1100	5
0	0	134	1110	5
0	0	134	1120	5
