#########Metric: Request Rate, minThreshold: 140, maxThreshold: 150##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
73	0	0	0	1
86	0	1	15	1
87	0	1	30	1
98	0	1	45	1
147	0	1	60	1
156	0	1	75	2
143	0	1	90	2
144	0	1	105	2
153	0	1	120	3
159	0	1	135	4
181	0	1	150	5
166	0	1	165	6
224	0	1	180	6
212	0	1	195	6
227	0	1	210	6
222	0	1	225	6
146	0	1	240	6
139	0	1	255	5
156	0	1	270	6
159	0	1	285	6
111	0	1	300	5
138	0	1	315	4
138	0	1	330	3
132	0	1	345	2
145	0	1	360	2
159	0	1	375	3
156	0	1	390	4
181	0	1	405	5
174	0	1	420	6
183	0	1	435	6
180	0	1	450	6
240	0	1	465	6
