#########Metric: Response Time, minThreshold: 150, maxThreshold: 250##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
19	14	0	5	1
95	516	32	10	1
120	536	73	15	1
94	517	132	20	1
107	502	166	25	1
81	500	229	30	1
106	497	261	35	2
92	475	43	40	2
101	467	160	45	2
108	512	209	50	2
112	502	243	55	2
115	503	297	60	3
149	493	78	65	3
167	753	190	70	3
146	696	222	75	3
126	706	245	80	3
135	684	262	85	4
139	397	99	90	4
146	684	209	95	4
144	688	218	100	4
136	702	225	105	4
140	689	250	110	4
143	689	238	115	4
142	703	232	120	4
168	820	252	125	5
146	0	77	130	5
162	0	125	135	5
147	0	119	140	4
159	0	84	145	4
159	2	93	150	4
158	0	114	155	4
149	0	98	160	3
154	63	75	165	3
169	8	81	170	3
180	34	75	175	2
179	116	59	180	2
181	209	62	185	2
143	157	91	190	2
123	168	78	195	1
110	165	91	200	1
104	162	99	205	1
93	180	101	210	1
95	190	122	215	1
132	241	113	220	1
132	340	145	225	1
128	408	133	230	1
85	457	165	235	1
125	473	202	240	1
106	489	209	245	1
85	458	151	250	1
162	574	183	255	1
133	141	135	260	1
148	156	96	265	1
136	149	131	270	1
152	175	172	275	1
151	174	163	280	1
77	74	102	285	1
84	0	108	290	1
168	401	69	295	1
129	549	92	300	1
115	144	75	305	1
143	21	96	310	1
130	133	66	315	1
159	165	91	320	1
128	196	99	325	1
120	203	101	330	1
110	14	102	335	1
142	334	61	340	1
128	533	86	345	1
122	141	69	350	1
142	167	92	355	1
140	195	99	360	1
161	328	101	365	1
144	155	67	370	1
143	154	94	375	1
140	114	100	380	1
147	127	101	385	1
137	59	102	390	1
71	0	102	395	1
144	172	69	400	1
154	339	92	405	1
102	450	99	410	1
28	671	101	415	1
0	0	0	420	1
0	0	0	425	1
0	0	0	430	1
0	0	0	435	1
0	0	0	440	1
0	0	0	445	1
0	0	0	450	1
0	0	0	455	1
0	0	0	460	1
0	0	0	465	1
