#########Metric: Queue length, minThreshold: 10, maxThreshold: 200##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
0	0	0	5	1
120	96	11	10	1
104	231	23	15	2
90	0	24	20	1
116	234	17	25	2
100	1	23	30	1
97	216	17	35	2
90	0	23	40	1
113	225	17	45	2
100	0	23	50	1
118	242	17	55	2
141	166	29	60	2
177	193	32	65	2
134	94	32	70	2
129	58	33	75	2
139	3	33	80	1
131	426	17	85	2
145	123	26	90	2
156	92	31	95	2
138	45	33	100	2
147	7	33	105	1
139	429	17	110	2
163	208	25	115	3
135	0	29	120	2
156	284	25	125	3
149	0	28	130	2
150	180	26	135	2
173	295	35	140	3
161	0	28	145	2
174	227	25	150	3
167	2	28	155	2
179	271	25	160	3
222	339	37	165	3
219	381	34	170	3
212	373	34	175	3
212	335	33	180	3
236	370	34	185	3
214	342	33	190	3
207	356	35	195	3
229	596	33	200	3
234	855	36	205	3
0	401	36	210	3
0	0	36	215	2
0	0	0	220	1
0	0	0	225	1
0	0	0	230	1
0	0	0	235	1
0	0	0	240	1
0	0	0	245	1
0	0	0	250	1
0	0	0	255	1
0	0	0	260	1
0	0	0	265	1
0	0	0	270	1
0	0	0	275	1
0	0	0	280	1
0	0	0	285	1
0	0	0	290	1
0	0	0	295	1
0	0	0	300	1
