#########Metric: Queue length, minThreshold: 200, maxThreshold: 400##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	418	0	1
80	426	87	10	2
103	446	158	20	3
98	537	209	30	4
69	329	242	40	4
66	314	317	50	4
76	408	353	60	5
70	0	173	70	4
46	0	89	80	3
61	0	92	90	2
57	0	55	100	1
58	272	87	110	1
53	271	158	120	1
57	306	216	130	1
50	283	265	140	1
57	300	303	150	1
67	296	335	160	1
72	352	362	170	1
64	404	383	180	2
58	305	156	190	2
50	316	267	200	2
54	252	340	210	2
95	461	387	220	3
81	505	206	230	4
51	283	237	240	4
50	261	312	250	4
56	307	343	260	4
83	324	345	270	4
94	472	343	280	5
79	0	156	290	4
93	0	120	300	3
73	0	93	310	2
88	0	50	320	1
66	354	87	330	1
70	413	158	340	2
86	424	160	350	3
62	365	203	360	3
71	348	310	370	3
102	509	359	380	4
95	507	243	390	5
67	0	169	400	4
57	0	124	410	3
70	0	95	420	2
85	0	45	430	1
106	457	86	440	2
73	392	159	450	2
85	431	269	460	3
103	500	202	470	4
90	478	243	480	5
113	0	159	490	4
61	0	118	500	3
62	0	96	510	2
69	0	50	520	1
77	409	86	530	2
47	259	158	540	2
79	297	268	550	2
80	393	341	560	2
92	374	388	570	2
124	502	421	580	3
86	426	207	590	4
94	386	239	600	4
78	444	315	610	5
72	0	161	620	4
66	0	129	630	3
98	0	87	640	2
115	0	40	650	1
69	365	88	660	1
65	317	158	670	1
71	333	215	680	1
63	313	264	690	1
82	439	302	700	2
82	417	158	710	3
65	312	205	720	3
48	369	307	730	3
50	247	351	740	3
65	294	371	750	3
65	306	382	760	3
96	451	383	770	4
80	486	241	780	5
66	0	164	790	4
55	0	122	800	3
80	0	88	810	2
75	0	48	820	1
89	420	87	830	2
94	518	160	840	3
87	484	203	850	4
73	391	236	860	4
63	426	312	870	5
92	0	164	880	4
92	0	115	890	3
122	0	78	900	2
96	0	42	910	1
81	498	88	920	2
81	440	157	930	3
78	402	205	940	4
80	385	244	950	4
79	372	326	960	4
80	405	346	970	5
84	0	162	980	4
107	0	120	990	3
74	0	93	1000	2
62	0	48	1010	1
79	385	86	1020	1
78	383	159	1030	1
92	475	217	1040	2
84	452	157	1050	3
105	473	208	1060	4
0	7	242	1070	3
0	0	0	1080	2
0	0	0	1090	1
0	0	0	1100	1
