#########Metric: Request Rate, minThreshold: 75, maxThreshold: 90##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
72	52	4	0	1
81	423	43	10	1
85	419	66	20	1
125	523	80	30	2
66	361	68	40	1
62	319	39	50	1
73	408	64	60	1
66	453	79	70	1
46	265	89	80	1
47	254	95	90	1
55	299	99	100	1
74	332	101	110	1
48	262	102	120	1
61	290	103	130	1
58	276	104	140	1
55	326	104	150	1
62	284	104	160	1
75	370	105	170	1
68	358	104	180	1
69	332	105	190	1
54	312	104	200	1
54	275	105	210	1
57	272	105	220	1
94	480	104	230	2
105	436	65	240	3
54	0	45	250	2
56	0	25	260	1
57	298	39	270	1
88	476	64	280	1
82	500	79	290	1
74	421	89	300	1
67	457	95	310	1
61	348	99	320	1
86	390	101	330	1
68	349	102	340	1
63	418	103	350	1
86	419	104	360	1
65	363	104	370	1
70	339	104	380	1
118	481	105	390	2
75	524	67	400	2
82	401	96	410	2
96	400	108	420	3
67	0	45	430	2
77	0	23	440	2
83	0	28	450	2
84	0	28	460	2
74	0	30	470	1
113	442	39	480	2
80	533	66	490	2
101	491	94	500	3
82	0	42	510	3
66	0	55	520	2
79	0	24	530	2
72	0	30	540	1
50	346	39	550	1
50	244	64	560	1
74	331	79	570	1
86	407	89	580	1
105	447	95	590	2
76	501	67	600	2
72	385	96	610	1
92	441	39	620	2
91	431	67	630	3
76	0	44	640	3
72	0	56	650	2
105	0	22	660	3
82	0	40	670	3
70	0	53	680	2
55	0	26	690	1
57	329	39	700	1
78	362	64	710	1
85	427	79	720	1
83	376	89	730	1
68	316	95	740	1
51	357	98	750	1
53	249	101	760	1
57	290	102	770	1
58	306	103	780	1
88	464	104	790	1
91	497	104	800	2
71	395	68	810	1
59	432	39	820	1
90	412	64	830	1
78	404	79	840	1
78	399	89	850	1
101	398	95	860	2
134	550	67	870	3
79	0	43	880	3
85	0	53	890	3
94	0	51	900	4
79	0	39	910	4
84	0	45	920	4
78	0	46	930	4
99	0	46	940	5
92	0	34	950	6
94	0	30	960	6
82	0	36	970	6
74	0	36	980	5
89	0	17	990	5
101	0	20	1000	6
81	0	29	1010	6
95	0	35	1020	6
76	0	36	1030	6
90	0	36	1040	6
70	0	36	1050	5
61	0	17	1060	4
86	0	19	1070	4
97	0	22	1080	5
94	0	35	1090	6
0	0	25	1100	5
0	0	0	1110	4
0	0	0	1120	3
0	0	0	1130	2
0	0	0	1140	1
0	0	0	1150	1
