#########Metric: Response Time, minThreshold: 150, maxThreshold: 200##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
89	100	23	0	2
91	434	180	10	2
101	444	282	20	3
88	0	84	30	3
71	0	119	40	3
55	0	141	50	3
72	0	121	60	2
65	0	48	70	2
51	0	72	80	2
46	0	86	90	2
55	0	82	100	1
46	328	87	110	1
49	257	158	120	1
60	290	216	130	2
56	288	158	140	2
67	307	269	150	3
52	0	112	160	3
62	0	129	170	3
79	0	123	180	2
58	0	53	190	2
53	0	66	200	2
53	0	81	210	2
97	0	73	220	1
112	543	87	230	1
61	336	159	240	1
59	285	217	250	2
61	316	159	260	2
54	296	269	270	3
93	0	86	280	3
101	0	101	290	3
85	0	114	300	3
84	0	117	310	3
75	0	132	320	3
71	0	129	330	2
63	0	52	340	2
83	0	56	350	2
99	0	54	360	1
68	355	86	370	1
84	391	160	380	1
97	485	220	390	2
102	478	158	400	2
76	369	270	410	3
68	0	101	420	3
72	0	126	430	3
92	0	116	440	2
101	0	43	450	2
68	0	60	460	2
86	0	60	470	1
101	500	87	480	1
102	476	159	490	1
93	465	218	500	2
82	439	157	510	2
65	319	268	520	3
80	0	96	530	3
68	0	128	540	3
55	0	142	550	3
50	0	160	560	3
75	0	137	570	2
64	0	46	580	2
96	0	52	590	2
86	0	55	600	2
80	0	60	610	2
62	0	63	620	2
87	0	57	630	1
71	381	86	640	1
72	354	159	650	1
104	417	218	660	2
82	529	157	670	2
68	343	268	680	3
60	0	108	690	3
59	0	130	700	3
86	0	136	710	3
93	0	116	720	2
81	0	47	730	2
66	0	67	740	2
53	0	69	750	2
49	0	85	760	2
58	0	84	770	1
64	311	87	780	1
77	445	159	790	1
68	479	217	800	2
73	397	159	810	2
61	432	266	820	3
79	0	94	830	3
80	0	111	840	3
78	0	118	850	3
95	0	113	860	2
116	0	38	870	2
85	0	53	880	2
90	0	60	890	2
90	0	56	900	1
84	500	87	910	1
90	469	158	920	1
76	473	217	930	2
93	477	158	940	2
95	432	264	950	3
81	0	92	960	3
85	0	110	970	3
81	0	122	980	3
78	0	122	990	2
92	0	47	1000	2
90	0	56	1010	2
109	0	55	1020	1
73	404	86	1030	1
95	459	159	1040	1
66	392	216	1050	2
55	419	161	1060	2
90	467	267	1070	3
104	0	86	1080	3
87	0	108	1090	3
0	0	121	1100	3
0	0	121	1110	2
0	0	0	1120	2
