#########Metric: Response Time, minThreshold: 40, maxThreshold: 60##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	2
85	157	99	10	3
96	80	138	20	4
122	0	70	30	5
66	0	32	40	5
66	0	29	50	4
76	0	37	60	4
70	0	46	70	4
48	0	33	80	3
46	0	9	90	3
55	0	12	100	3
75	0	13	110	3
51	0	13	120	2
61	0	19	130	2
53	0	27	140	2
57	0	27	150	1
58	253	68	160	2
62	71	105	170	3
70	0	127	180	4
68	0	32	190	4
51	0	44	200	4
54	0	47	210	4
108	0	57	220	4
109	0	80	230	5
68	0	28	240	5
59	0	28	250	4
59	0	31	260	4
71	0	29	270	3
88	0	17	280	3
98	0	20	290	3
86	0	17	300	2
67	0	24	310	2
74	0	29	320	2
78	0	31	330	2
81	0	30	340	1
81	422	67	350	2
65	270	109	360	3
75	0	110	370	4
110	0	60	380	4
118	0	94	390	5
81	0	34	400	5
94	0	32	410	4
64	0	28	420	4
87	0	39	430	4
89	0	44	440	4
67	0	44	450	4
78	0	40	460	4
82	0	40	470	4
118	0	52	480	4
88	0	55	490	4
101	0	54	500	4
66	0	49	510	4
68	0	35	520	3
80	0	15	530	3
77	0	17	540	3
58	0	15	550	2
53	0	16	560	2
72	0	30	570	2
62	0	31	580	2
95	0	34	590	2
86	0	34	600	1
74	374	72	610	2
95	269	114	620	3
104	158	140	630	4
69	0	47	640	4
93	0	54	650	4
98	0	80	660	5
88	0	39	670	5
54	0	32	680	4
66	0	30	690	4
65	0	31	700	4
94	0	44	710	4
112	0	53	720	4
68	0	49	730	4
68	0	40	740	4
56	0	40	750	4
49	0	30	760	3
62	0	14	770	3
80	0	14	780	2
91	0	33	790	2
94	0	35	800	2
77	0	35	810	1
78	364	69	820	2
102	304	108	830	3
82	98	147	840	4
63	0	63	850	5
101	0	43	860	5
102	0	46	870	5
79	0	35	880	4
93	0	44	890	4
120	0	53	900	4
92	0	50	910	4
118	0	53	920	4
114	0	47	930	4
103	0	56	940	4
97	0	57	950	4
107	0	61	960	5
76	0	29	970	5
92	0	36	980	5
74	0	35	990	4
70	0	39	1000	4
89	0	48	1010	4
81	0	46	1020	4
78	0	47	1030	4
76	0	45	1040	4
77	0	42	1050	4
93	0	47	1060	4
123	0	55	1070	4
86	0	62	1080	5
106	0	38	1090	5
0	0	40	1100	5
0	0	40	1110	5
0	0	40	1120	5
