#########Metric: Response Time, minThreshold: 50, maxThreshold: 100##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	2
0	0	0	5	1
70	55	10	10	1
78	299	47	15	1
81	427	83	20	1
69	467	108	25	2
103	0	27	30	2
96	0	34	35	2
113	0	37	40	2
88	0	39	45	2
68	0	40	50	2
61	0	36	55	1
57	177	40	60	1
86	414	69	65	1
77	409	87	70	1
76	406	98	75	1
65	450	106	80	2
43	0	14	85	2
47	0	19	90	2
50	0	23	95	2
50	0	23	100	1
66	180	40	105	1
58	265	68	110	1
53	299	86	115	1
51	331	99	120	1
51	279	107	125	2
53	0	18	130	2
54	0	20	135	2
68	0	22	140	2
51	0	25	145	2
57	0	27	150	2
76	0	29	155	2
65	0	30	160	2
53	0	32	165	2
61	0	30	170	1
61	222	41	175	1
61	361	69	180	1
75	362	88	185	1
77	409	101	190	2
70	0	19	195	2
62	0	27	200	2
51	0	29	205	2
46	0	31	210	2
52	0	30	215	1
60	116	40	220	1
41	170	67	225	1
108	420	86	230	1
98	468	98	235	1
94	535	111	240	2
88	0	22	245	2
63	0	24	250	2
55	0	25	255	2
60	0	25	260	1
56	189	41	265	1
59	310	69	270	1
60	295	87	275	1
84	327	104	280	2
90	0	23	285	2
95	0	33	290	2
80	0	35	295	2
86	0	34	300	1
76	301	40	305	1
85	419	68	310	1
66	437	87	315	1
67	357	101	320	2
69	0	23	325	2
65	0	26	330	2
83	0	32	335	2
70	0	34	340	2
74	0	36	345	2
91	0	36	350	1
97	294	40	355	1
86	416	67	360	1
105	459	86	365	1
83	412	99	370	1
79	361	107	375	2
75	0	22	380	2
87	0	26	385	2
93	0	32	390	2
100	0	36	395	2
121	0	36	400	1
102	359	40	405	1
90	419	68	410	1
76	364	87	415	1
81	377	99	420	1
53	392	107	425	2
69	0	21	430	2
69	0	27	435	2
87	0	31	440	2
88	0	32	445	2
79	0	37	450	2
97	0	38	455	2
70	0	35	460	1
80	274	40	465	1
82	366	68	470	1
91	406	87	475	1
88	400	99	480	1
97	514	108	485	2
120	0	25	490	2
91	0	31	495	2
104	0	35	500	2
93	0	38	505	2
119	0	39	510	2
85	0	38	515	1
78	268	40	520	1
63	318	68	525	1
59	328	89	530	1
70	400	99	535	1
71	367	108	540	2
74	0	17	545	2
82	0	28	550	2
46	0	27	555	1
48	134	40	560	1
52	198	68	565	1
77	284	87	570	1
80	402	99	575	1
78	389	107	580	2
79	0	23	585	2
92	0	29	590	2
98	0	35	595	2
117	0	35	600	1
74	297	40	605	1
89	428	68	610	1
73	368	86	615	1
100	410	98	620	1
83	395	110	625	2
84	0	24	630	2
95	0	32	635	2
73	0	34	640	2
74	0	37	645	2
66	0	36	650	1
66	226	40	655	1
69	419	68	660	1
99	470	89	665	1
97	478	101	670	2
81	0	24	675	2
60	0	30	680	2
59	0	29	685	1
64	177	40	690	1
82	315	68	695	1
72	347	87	700	1
61	315	98	705	1
67	324	106	710	2
88	0	23	715	2
85	0	31	720	2
90	0	37	725	2
71	0	35	730	1
65	240	41	735	1
58	326	68	740	1
69	331	88	745	1
85	381	102	750	2
58	0	15	755	2
54	0	19	760	2
52	0	25	765	2
61	0	26	770	2
60	0	27	775	2
58	0	33	780	2
77	0	32	785	1
84	329	40	790	1
84	439	67	795	1
96	505	86	800	1
87	387	103	805	2
70	0	22	810	2
81	0	32	815	2
88	0	36	820	2
76	0	35	825	1
84	324	40	830	1
108	451	69	835	1
69	401	87	840	1
91	422	102	845	2
84	0	24	850	2
88	0	32	855	2
95	0	33	860	2
90	0	38	865	2
127	0	38	870	1
90	366	41	875	1
75	447	69	880	1
70	384	89	885	1
81	399	102	890	2
74	0	18	895	2
88	0	31	900	2
91	0	38	905	2
73	0	35	910	1
91	371	41	915	1
94	465	68	920	1
120	502	86	925	1
82	443	98	930	1
100	477	106	935	2
100	0	25	940	2
86	0	31	945	2
105	0	34	950	2
84	0	37	955	2
83	0	39	960	2
101	0	38	965	1
75	267	41	970	1
76	396	69	975	1
78	386	87	980	1
88	448	105	985	2
99	0	23	990	2
80	0	31	995	2
102	0	35	1000	2
65	0	32	1005	1
82	327	40	1010	1
81	408	68	1015	1
85	471	87	1020	1
78	371	100	1025	1
72	400	107	1030	2
79	0	21	1035	2
55	0	29	1040	2
86	0	32	1045	2
83	0	34	1050	2
100	0	35	1055	2
67	0	34	1060	1
89	367	40	1065	1
97	487	68	1070	1
80	494	88	1075	1
91	461	102	1080	2
83	0	26	1085	2
115	0	35	1090	2
71	0	35	1095	1
0	0	36	1100	1
0	0	36	1105	1
