#########Metric: Queue length, minThreshold: -1, maxThreshold: 3000000##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
59	31	177	0	2
77	238	151	5	2
76	424	136	10	2
67	470	127	15	2
84	416	123	20	2
101	490	120	25	2
121	524	118	30	2
88	444	118	35	2
61	392	117	40	2
61	329	117	45	2
60	315	117	50	2
86	366	116	55	2
84	425	116	60	2
81	396	116	65	2
105	457	116	70	2
81	374	116	75	2
63	261	116	80	2
43	243	115	85	2
51	258	115	90	2
56	269	115	95	2
57	310	115	100	2
62	290	115	105	2
60	292	115	110	2
54	330	116	115	2
51	277	116	120	2
53	254	116	125	2
52	261	114	130	2
63	301	114	135	2
48	289	115	140	2
57	289	115	145	2
79	317	114	150	2
65	297	115	155	2
59	279	115	160	2
61	290	115	165	2
71	339	115	170	2
71	367	114	175	2
72	347	114	180	2
93	407	114	185	2
55	324	114	190	2
61	327	114	195	2
64	313	113	200	2
75	351	114	205	2
63	288	115	210	2
48	262	115	215	2
48	256	115	220	2
87	290	114	225	2
85	476	114	230	2
102	486	113	235	2
84	497	113	240	2
57	420	114	245	2
59	292	114	250	2
56	271	114	255	2
51	282	114	260	2
60	321	115	265	2
59	306	114	270	2
66	299	114	275	2
76	315	115	280	2
99	475	115	285	2
97	476	116	290	2
78	516	116	295	2
107	451	116	300	2
76	425	116	305	2
84	410	116	310	2
92	467	116	315	2
74	365	116	320	2
62	345	116	325	2
59	330	115	330	2
92	366	114	335	2
65	382	115	340	2
62	360	115	345	2
75	361	115	350	2
81	415	116	355	2
94	414	116	360	2
82	411	116	365	2
104	476	116	370	2
79	375	116	375	2
79	370	116	380	2
72	332	116	385	2
80	349	115	390	2
98	456	115	395	2
102	511	116	400	2
126	545	116	405	2
85	455	117	410	2
70	439	115	415	2
68	377	113	420	2
73	370	112	425	2
77	432	112	430	2
76	342	112	435	2
69	341	114	440	2
66	352	114	445	2
86	428	115	450	2
78	420	116	455	2
78	404	114	460	2
93	474	115	465	2
76	355	115	470	2
71	389	115	475	2
73	371	115	480	2
84	432	115	485	2
105	427	114	490	2
107	508	114	495	2
115	574	115	500	2
105	453	115	505	2
107	492	115	510	2
95	472	115	515	2
113	533	115	520	2
90	408	116	525	2
74	377	116	530	2
60	326	115	535	2
66	330	115	540	2
76	399	115	545	2
66	359	116	550	2
72	351	116	555	2
92	390	116	560	2
50	331	116	565	2
53	273	115	570	2
53	250	116	575	2
56	270	116	580	2
85	353	116	585	2
78	391	116	590	2
89	410	116	595	2
63	414	116	600	2
96	457	116	605	2
89	454	115	610	2
95	525	114	615	2
87	407	115	620	2
80	407	116	625	2
78	374	116	630	2
102	423	115	635	2
82	383	114	640	2
83	444	114	645	2
86	436	114	650	2
66	472	114	655	2
73	381	114	660	2
65	361	114	665	2
72	356	115	670	2
85	417	114	675	2
106	433	115	680	2
99	474	115	685	2
113	541	114	690	2
99	427	115	695	2
69	365	115	700	2
54	299	115	705	2
66	316	116	710	2
83	362	115	715	2
71	332	116	720	2
70	311	116	725	2
61	312	116	730	2
82	426	116	735	2
82	435	116	740	2
96	450	115	745	2
76	442	115	750	2
58	351	116	755	2
58	334	116	760	2
64	321	116	765	2
79	368	115	770	2
60	293	116	775	2
47	261	115	780	2
52	254	115	785	2
68	275	115	790	2
69	320	116	795	2
61	291	115	800	2
55	308	115	805	2
81	411	115	810	2
81	443	113	815	2
109	472	113	820	2
70	432	113	825	2
77	407	114	830	2
75	394	115	835	2
86	397	115	840	2
57	415	115	845	2
95	416	113	850	2
83	409	115	855	2
107	461	114	860	2
82	387	115	865	2
80	415	115	870	2
83	401	116	875	2
103	465	115	880	2
101	392	116	885	2
96	501	115	890	2
122	527	115	895	2
95	489	115	900	2
78	459	115	905	2
74	392	116	910	2
81	387	114	915	2
90	447	114	920	2
102	402	115	925	2
98	469	115	930	2
118	521	115	935	2
85	422	116	940	2
101	485	116	945	2
95	458	116	950	2
110	527	116	955	2
78	398	116	960	2
93	506	116	965	2
100	483	116	970	2
80	519	116	975	2
92	452	115	980	2
89	451	115	985	2
87	426	115	990	2
84	480	114	995	2
85	383	115	1000	2
75	388	115	1005	2
74	377	115	1010	2
88	445	115	1015	2
84	371	115	1020	2
78	411	114	1025	2
79	407	113	1030	2
62	443	114	1035	2
94	412	114	1040	2
90	415	115	1045	2
108	436	115	1050	2
66	402	116	1055	2
84	407	116	1060	2
83	390	116	1065	2
106	436	115	1070	2
60	370	113	1075	2
78	412	113	1080	2
81	384	114	1085	2
100	440	115	1090	2
95	378	116	1095	2
92	484	115	1100	2
115	499	116	1105	2
84	477	116	1110	2
89	458	116	1115	2
81	433	116	1120	2
99	446	115	1125	2
71	447	115	1130	2
0	191	115	1135	2
0	0	114	1140	2
0	0	114	1145	2
0	0	114	1150	2
0	0	114	1155	2
